,Ville_1,Ville_2,Distance (km),Places dispo par jour,Emissions_CO2 (kg/passager)
305,Dortmund,Hamburg,284.45,295.0,9.102
306,Hamburg,Hahn,450.512,389.0,14.416
307,Hahn,Hannover,326.543,389.0,10.449
308,Hahn,Frankfurt-am-Main,94.116,389.0,3.012
309,Monchengladbach,Baden-Baden,294.865,389.0,9.436
310,Munster,Oberpfaffenhofen,518.49,389.0,16.592
311,Baden-Baden,Lubeck,588.09,389.0,18.819
312,Lubeck,Dortmund,329.44,389.0,10.542
313,Augsburg,Nuremberg,119.827,389.0,3.834
314,Oberpfaffenhofen,Munster,518.49,389.0,16.592
315,Nuremberg,Leipzig,229.239,295.0,7.336
316,Leipzig,Dresden,111.289,295.0,3.561
317,Mannheim,Koblenz,118.213,389.0,3.783
318,Hannover,Paderborn,119.079,389.0,3.811
319,Egelsbach,Leipzig,300.935,389.0,9.63
320,Berlin,Westerland,442.525,389.0,14.161
321,Hamburg,Dortmund,284.45,295.0,9.102
322,Dusseldorf,Cologne,53.433,295.0,1.71
323,Siegerland,Leipzig,300.904,389.0,9.629
324,Nuremberg,Nuremberg,0.0,295.0,0.0
325,Nuremberg,Stuttgart,162.318,295.0,5.194
326,Munster,Friedrichshafen,513.208,389.0,16.423
327,Friedrichshafen,Munster,513.208,389.0,16.423
328,Braunschweig,Paderborn,154.46,389.0,4.943
329,Paderborn,Hannover,119.079,389.0,3.811
330,Bremen,Kassel,185.517,389.0,5.937
331,Kassel,Munich,381.674,389.0,12.214
332,Leipzig,Friedrichshafen,461.173,389.0,14.758
333,Oberpfaffenhofen,Westerland,786.117,389.0,25.156
334,Hannover,Baden-Baden,424.6,389.0,13.587
335,Bremen,Lubeck,153.27,389.0,4.905
336,Friedrichshafen,Leipzig,461.173,389.0,14.758
337,Nuremberg,Dresden,263.722,295.0,8.439
338,Leipzig,Nuremberg,229.239,295.0,7.336
339,Lubeck,Berlin,245.44,389.0,7.854
340,Vilshofen,Hamburg,598.654,389.0,19.157
341,Osnabruck,Munster,25.906,389.0,0.829
342,Berlin,Bremen,326.547,295.0,10.45
343,Braunschweig,Leipzig,152.243,389.0,4.872
344,Hof,Aalen,203.47,389.0,6.511
345,Hahn,Berlin,511.171,389.0,16.357
346,Hamburg,Vilshofen,598.654,389.0,19.157
347,Paderborn,Dortmund,70.221,389.0,2.247
348,Aalen,Berlin,459.33,389.0,14.699
349,Stuttgart,Erfurt,283.402,389.0,9.069
350,Berlin,Aalen,459.33,389.0,14.699
351,Aalen,Hof,203.47,389.0,6.511
352,Zweibrucken,Stuttgart,145.0,389.0,4.64
353,Hannover,Monchengladbach,257.649,389.0,8.245
354,Leipzig,Westerland,466.509,389.0,14.928
355,Westerland,Trebbin,437.89,389.0,14.012
356,Schwabisch Hall,Schwabisch Hall,0.0,389.0,0.0
357,Siegerland,Hannover,224.048,389.0,7.17
358,Paderborn,Baden-Baden,317.505,389.0,10.16
359,Dusseldorf,Speyer,250.773,389.0,8.025
360,Munich,Egelsbach,290.171,389.0,9.285
361,Baden-Baden,Paderborn,317.505,389.0,10.16
362,Lahr,Munich,292.418,389.0,9.357
363,Westerland,Oberpfaffenhofen,786.117,389.0,25.156
364,Westerland,Cologne,457.003,389.0,14.624
365,Memmingen,Bremen,571.761,389.0,18.296
366,Cologne,Dortmund,79.589,295.0,2.547
367,Bremen,Nuremberg,425.54,295.0,13.617
